run_id,best_C,best_gamma,best_kernel,accuracy,TN,FP,FN,TP
1,10922.6875,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
2,1057.0625,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
3,483.8709677419355,1.0,rbf,0.630057803468208,84,7,57,25
4,528.546370967742,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
5,66.09475806451613,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
6,924.9203629032259,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
7,10922.6875,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
8,10922.6875,3.0517578125e-05,rbf,0.8439306358381503,75,4,23,71
9,10922.6875,3.0517578125e-05,rbf,0.8439306358381503,75,4,23,71
10,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,76,3,23,71
11,520.1577380952381,3.0517578125e-05,rbf,0.8439306358381503,75,4,23,71
12,520.1577380952381,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
13,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
14,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
15,10922.6875,3.0517578125e-05,rbf,0.8333333333333334,52,16,7,63
16,10922.6875,3.0517578125e-05,rbf,0.8454106280193237,85,25,7,90
17,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
18,10922.6875,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
19,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
20,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
21,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
22,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
23,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
24,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
25,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
26,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
27,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
28,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
29,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
30,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,71,23,3,76
31,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,71,23,3,76
32,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,71,23,3,76
33,10922.6875,3.0517578125e-05,rbf,0.8439306358381503,72,19,8,74
34,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,71,23,3,76
35,10922.6875,3.0517578125e-05,rbf,0.8497109826589595,72,19,7,75
